Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20
0.00991246;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.00991246;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.00991246;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.00991246;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.00991246;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.00991246;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.00991246;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.00991246;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.00991246;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.00991246;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.00991246;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.509912;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.515597;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.521282;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.526967;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.532652;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
0.552364;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
9.24225;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
9.24225;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
9.24225;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
9.24225;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
9.24225;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
9.24225;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
9.24225;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
9.24225;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
9.24225;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
9.24225;1.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
